t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
3.08e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.09e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.1e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.11e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.12e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.13e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.14e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.15e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.16e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.17e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.18e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.19e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.2e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.21e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.22e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.23e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.24e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.25e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.26e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.27e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.28e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.29e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.3e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.31e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.32e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.33e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.34e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.35e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.36e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.37e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
