t 1 2 3 jL0200 4 5 6 jE0601 jVX jV0400 
2.78 0 -0.631952 1.42334 1.32462 1 0 -0.691732 0 -0.691732 -0.632887 
2.79 0 -0.63426 1.41024 1.31828 1 0 -0.681358 0 -0.681358 -0.636919 
2.8 0 -0.636563 1.39699 1.31191 1 0 -0.671134 0 -0.671134 -0.640777 
2.81 0 -0.63886 1.38362 1.30552 1 0 -0.661077 0 -0.661077 -0.644445 
2.82 0 -0.641153 1.37011 1.29911 1 0 -0.651201 0 -0.651201 -0.647909 
2.83 0 -0.643442 1.35649 1.29268 1 0 -0.641521 0 -0.641521 -0.651154 
2.84 0 -0.645727 1.34276 1.28622 1 0 -0.632049 0 -0.632049 -0.654169 
2.85 0 -0.648009 1.32893 1.27974 1 0 -0.622796 0 -0.622796 -0.656943 
2.86 0 -0.650287 1.31501 1.27324 1 0 -0.613771 0 -0.613771 -0.659465 
2.87 0 -0.652563 1.301 1.26671 1 0 -0.604982 0 -0.604982 -0.661728 
2.88 0 -0.654836 1.28692 1.26016 1 0 -0.596436 0 -0.596436 -0.663726 
2.89 0 -0.657107 1.27278 1.25359 1 0 -0.588137 0 -0.588137 -0.665454 
2.9 0 -0.659375 1.25858 1.247 1 0 -0.580088 0 -0.580088 -0.666909 
2.91 0 -0.66164 1.24434 1.24038 1 0 -0.572291 0 -0.572291 -0.66809 
2.92 0 -0.663903 1.23006 1.23374 1 0 -0.564746 0 -0.564746 -0.668996 
2.93 0 -0.666164 1.21575 1.22708 1 0 -0.557451 0 -0.557451 -0.669629 
2.94 0 -0.668422 1.20142 1.2204 1 0 -0.550405 0 -0.550405 -0.669991 
